GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Minesweeper,org.oppblueprints,ActionType,21,0,0,0,4,0,1,0,1,0
Minesweeper,org.oppblueprints,Difficulty,24,18,0,0,3,1,4,3,4,3
Minesweeper,org.oppblueprints,GameResult,18,25,2,0,5,11,5,5,4,5
Minesweeper,org.oppblueprints,GUI.new TimerTask() {...},28,0,2,0,5,0,3,0,2,0
Minesweeper,org.oppblueprints,Cell,76,97,29,10,30,25,29,12,5,7
Minesweeper,org.oppblueprints,GameInput,220,0,21,0,37,0,21,0,10,0
Minesweeper,org.oppblueprints,CellState,0,75,0,0,0,13,0,1,0,1
Minesweeper,org.oppblueprints,InputErrorType,51,0,0,0,9,0,1,0,1,0
Minesweeper,org.oppblueprints,Game.new TimerTask() {...},14,0,0,0,3,0,2,0,2,0
Minesweeper,org.oppblueprints,Game,391,0,54,0,101,0,39,0,8,0
Minesweeper,org.oppblueprints,GUI,620,0,41,0,126,0,38,0,14,0
Minesweeper,org.oppblueprints,Board,1111,24,92,0,86,7,59,2,13,2
Minesweeper,org.oppblueprints,ResultErrorType,0,39,0,0,0,7,0,1,0,1
